,ScripCode,TradingSymbol,Description,InstrumentType
114,26125,NONCYC CONS,NIFTY NONCYC CONS,0
115,26126,RURAL,NIFTY RURAL,0
116,26127,SHARIAH 25,NIFTY SHARIAH 25,0
117,26128,TRANS LOGIS,NIFTY TRANS LOGIS,0
118,26129,NIFTY50 SHARIAH,NIFTY50 SHARIAH,0
119,26130,NIFTY500 LMS EQL,NIFTY500 LMS EQL,0
120,26131,NIFTY500 SHARIAH,NIFTY500 SHARIAH,0
121,16921,20MICRONS-EQ,20 MICRONS LTD,0
122,7750,21STCENMGM-BE,21ST CENTURY MGMT SERVICE,0
123,13061,360ONE-EQ,360 ONE WAM LIMITED,0
124,6232,3IINFOLTD-EQ,3I INFOTECH LIMITED,0
125,474,3MINDIA-EQ,3M INDIA LIMITED,0
126,9048,3PLAND-BE,3P LAND HOLDINGS LIMITED,0
127,445,5PAISA-EQ,5PAISA CAPITAL LIMITED,0
128,11868,63MOONS-EQ,63 MOONS TECHNOLOGIES LTD,0
129,20910,A2ZINFRA-BE,A2Z INFRA ENGINEERING LTD,0
130,12533,AAATECH-EQ,AAA TECHNOLOGIES LIMITED,0
131,23729,AADHARHFC-EQ,AADHAR HOUSING FINANCE L,0
132,235,AAKASH-EQ,AAKASH EXPLORATION SER L,0
133,5248,AAREYDRUGS-BE,AAREY DRUGS & PHARM LTD,0
134,1030,AARON-EQ,AARON INDUSTRIES LIMITED,0
135,17164,AARTECH-BE,AARTECH SOLONICS LIMITED,0
136,4481,AARTIDRUGS-EQ,AARTI DRUGS LTD.,0
137,7,AARTIIND-EQ,AARTI INDUSTRIES LTD,0
138,13868,AARTIPHARM-EQ,AARTI PHARMALABS LIMITED,0
139,19233,AARTISURF-EQ,AARTI SURFACTANTS LIMITED,0
140,13775,AARVEEDEN-BE,AARVEE DEN. & EXP. LTD,0
141,19073,AARVI-EQ,AARVI ENCON LIMITED,0
142,16961,AATMAJ-SM,AATMAJ HEALTHCARE LIMITED,0
143,5385,AAVAS-EQ,AAVAS FINANCIERS LIMITED,0
144,10,ABAN-EQ,ABAN OFFSHORE LTD.,0
145,13,ABB-EQ,ABB INDIA LIMITED,0
146,17903,ABBOTINDIA-EQ,ABBOTT INDIA LIMITED,0
147,21614,ABCAPITAL-EQ,ADITYA BIRLA CAPITAL LTD.,0
148,7790,ABCOTS-ST,A B COTSPIN INDIA LIMITED,0
149,24308,ABDL-EQ,ALLIED BLEND N DISTILS L,0
150,30108,ABFRL-EQ,ADITYA BIRLA FASHION & RT,0
151,24404,ABGSEC-EQ,BIRLASLAMC - ABGSEC,0
152,27287,ABHAPOWER-ST,ABHA POWER N STEEL LTD,0
153,27020,ABINFRA-EQ,A B INFRABUILD LIMITED,0
154,5551,ABMINTLLTD-BE,ABM INTERNATIONAL LTD,0
155,625,ABREL-EQ,ADITYA BIRLA REAL EST LTD,0
156,6018,ABSLAMC-EQ,ADIT BIRL SUN LIF AMC LTD,0
157,13987,ABSLBANETF-EQ,BIRLASLAMC - ABSLBANETF,0
158,14518,ABSLLIQUID-EQ,BIRLASLAMC - ABSLLIQUID,0
159,7339,ABSLNN50ET-EQ,BIRLASLAMC - ABSLNN50ET,0
160,23806,ABSLPSE-EQ,BIRLASLAMC-ABSLPSE,0
161,23783,ABSMARINE-SM,ABS MARINE SERVICES LTD,0
162,22,ACC-EQ,ACC LIMITED,0
163,7053,ACCELYA-EQ,ACCELYA SOLN INDIA LTD,0
164,20488,ACCENTMIC-SM,ACCENT MICROCELL LIMITED,0
165,21217,ACCORD-SM,ACCORD SYNERGY LIMITED,0
166,1465,ACCURACY-EQ,ACCURACY SHIPPING LIMITED,0
167,13587,ACE-EQ,ACTION CONST EQUIP LTD,0
168,11779,ACEINTEG-EQ,ACE INTEGRATED SOLU. LTD.,0
169,12024,ACI-EQ,ARCHEAN CHEMICAL IND LTD,0
170,15420,ACL-EQ,ANDHRA CEMENTS LIMITED,0
171,13688,ACLGATI-EQ,ALLCARGO GATI LIMITED,0
172,27061,ACMESOLAR-EQ,ACME SOLAR HOLDINGS LTD,0
173,10217,ADANIENSOL-EQ,ADANI ENERGY SOLUTION LTD,0
174,25,ADANIENT-EQ,ADANI ENTERPRISES LIMITED,0
175,3563,ADANIGREEN-EQ,ADANI GREEN ENERGY LTD,0
176,15083,ADANIPORTS-EQ,ADANI PORT & SEZ LTD,0
177,17388,ADANIPOWER-EQ,ADANI POWER LTD,0
178,19761,ADFFOODS-EQ,ADF FOODS LIMITED,0
179,245,ADL-EQ,ARCHIDPLY DECOR LIMITED,0
180,34,ADORWELD-EQ,ADOR WELDING LTD,0
181,8644,ADROITINFO-BE,ADROIT INFOTECH LIMITED,0
182,14813,ADSL-EQ,ALLIED DIGITAL SERV. LTD,0
