,ScripCode,TradingSymbol,Description,InstrumentType
421,13441,BALPHARMA-EQ,BAL PHARMA LTD.,0
422,341,BALRAMCHIN-EQ,BALRAMPUR CHINI MILLS LTD,0
423,23607,BALUFORGE-EQ,BALU FORGE INDUSTRIES LTD,0
424,9607,BANARBEADS-BE,BANARASBEADSLTD-ROLLSETT,0
425,350,BANARISUG-EQ,BANNARI AMMAN SUGARS LTD,0
426,13880,BANCOINDIA-EQ,BANCO PRODUCTS (I) LTD,0
427,2263,BANDHANBNK-EQ,BANDHAN BANK LIMITED,0
428,15307,BANG-BE,BANG OVERSEAS LTD.,0
429,822,BANKA-EQ,BANKA BIOLOO LIMITED,0
430,4668,BANKBARODA-EQ,BANK OF BARODA,0
431,11439,BANKBEES-EQ,NIP IND ETF BANK BEES,0
432,21986,BANKBETF-EQ,BFAM - BANKBETF,0
433,17419,BANKETF-EQ,MIRAEAMC - BANKETF,0
434,13644,BANKETFADD-EQ,DSPAMC - DSPBANKETF,0
435,11037,BANKIETF-EQ,ICICIPRAMC - IPRU5008,0
436,4745,BANKINDIA-EQ,BANK OF INDIA,0
437,5851,BANKNIFTY1-EQ,KOTAKMAMC-KOTAKBKETF,0
438,25725,BANKPSU-EQ,MIRAEAMC - BANKPSU,0
439,24386,BANSALWIRE-EQ,BANSAL WIRE INDUSTRIES L,0
440,14511,BANSWRAS-EQ,BANSWARA SYNTEX LIMITED,0
441,3127,BARBEQUE-EQ,BARBEQUE NATION HOSP. LTD,0
442,29179,BARFLEX-ST,BARFLEX POLYFILMS LIMITED,0
443,368,BASF-EQ,BASF INDIA LTD,0
444,18445,BASILIC-ST,BASILIC FLY STUDIO LTD,0
445,12034,BASML-EQ,BANNARI AM SPIN MILL LTD.,0
446,371,BATAINDIA-EQ,BATA INDIA LTD,0
447,22571,BAWEJA-SM,BAWEJA STUDIOS LIMITED,0
448,17927,BAYERCROP-EQ,BAYER CROPSCIENCE LTD,0
449,7196,BBETF0432-EQ,EDELAMC - BBETF0432,0
450,13761,BBL-EQ,BHARAT BIJLEE LTD,0
451,24117,BBNPNBETF-EQ,BARODABNP - BBNPNBETF,0
452,20547,BBNPPGOLD-EQ,BARODABNP - BBNPPGOLD,0
453,3435,BBOX-EQ,BLACK BOX LIMITED,0
454,380,BBTC-EQ,BOMBAY BURMAH TRADING COR,0
455,12153,BBTCL-EQ,B&B TRIPLEWALL CONT LTD,0
456,2513,BCLIND-EQ,BCL INDUSTRIES LIMITED,0
457,7780,BCONCEPTS-EQ,BRAND CONCEPTS LIMITED,0
458,2144,BDL-EQ,BHARAT DYNAMICS LIMITED,0
459,23922,BEACON-SM,BEACON TRUSTEESHIP LTD,0
460,17933,BEARDSELL-EQ,BEARDSELL LIMITED,0
461,1628,BECTORFOOD-EQ,MRS BECTORS FOOD SPE LTD,0
462,20196,BEDMUTHA-EQ,BEDMUTHA INDUST LTD,0
463,383,BEL-EQ,BHARAT ELECTRONICS LTD,0
464,395,BEML-EQ,BEML LIMITED,0
465,419,BEPL-EQ,BHANSALI ENG. POLYMERS LT,0
466,404,BERGEPAINT-EQ,BERGER PAINTS (I) LTD,0
467,2306,BESTAGRO-EQ,BEST AGROLIFE LIMITED,0
468,81,BETA-SM,BETA DRUGS LIMITED,0
469,5667,BEWLTD-ST,BEW ENGINEERING LIMITED,0
470,21113,BFINVEST-EQ,BF INVESTMENT LIMITED,0
471,5220,BFSI-EQ,MIRAEAMC - MAFSETF,0
472,25879,BFUTILITIE-BZ,BF UTILITIES LIMITED,0
473,15193,BGRENERGY-BE,BGR ENERGY SYSTEMS LTD,0
474,6164,BHAGCHEM-EQ,BHAGIRADHA CHEM & INDS L,0
475,13400,BHAGERIA-EQ,BHAGERIA INDUSTRIES LTD,0
476,20776,BHAGYANGR-EQ,BHAGYANAGAR INDIA LIMITED,0
477,19556,BHANDARI-EQ,BHANDARI HOSIERY EXP LTD,0
478,422,BHARATFORG-EQ,BHARAT FORGE LTD,0
479,426,BHARATGEAR-EQ,BHARAT GEARS LTD.,0
480,3834,BHARATRAS-EQ,BHARAT RASAYAN LTD,0
481,16123,BHARATWIRE-EQ,BHARAT WIRE ROPES LTD.,0
482,10604,BHARTIARTL-EQ,BHARTI AIRTEL LIMITED,0
483,23489,BHARTIHEXA-EQ,BHARTI HEXACOM LIMITED,0
484,438,BHEL-EQ,BHEL,0
485,18431,BIGBLOC-EQ,BIGBLOC CONSTRUCTION LTD,0
486,11966,BIKAJI-EQ,BIKAJI FOODS INTERN LTD,0
487,25524,BIKEWO-SM,BIKEWO GREEN TECH LIMITED,0
488,7853,BIL-BE,BHARTIYA INETRNATIONAL LT,0
489,13625,BINANIIND-EQ,BINANI INDUSTRIES LTD,0
490,11373,BIOCON-EQ,BIOCON LIMITED.,0
491,4136,BIOFILCHEM-EQ,BIOFIL CHEM & PHARMA LTD,0
492,23559,BIRDYS-SM,GRILL SPLENDOUR SER LTD,0
493,2203,BIRET-RR,BROOKFIELD INDIA RET,0
494,477,BIRLACABLE-EQ,BIRLA CABLE LIMITED,0
495,480,BIRLACORPN-EQ,BIRLA CORPORATION LTD,0
496,15243,BIRLAMONEY-BE,ADITYA BIRLA MONEY LTD,0
497,27144,BLACKBUCK-EQ,ZINKA LOGISTICS SOL LTD,0
498,15067,BLAL-EQ,BEML LAND ASSETS LIMITED,0
499,8132,BLBLIMITED-EQ,BLB LIMITED,0
500,19265,BLISSGVS-EQ,BLISS GVS PHARMA LTD,0
501,13290,BLKASHYAP-EQ,B.L.KASHYAP & SON LTD,0
502,17279,BLS-EQ,BLS INTL SERVS LTD,0
503,22566,BLSE-EQ,BLS E-SERVICES LIMITED,0
504,8650,BLUECHIP-BE,BLUE CHIP INDIA LIMITED,0
505,8552,BLUECOAST-BE,BLUE COAST HOTELS LIMITED,0
506,495,BLUEDART-EQ,BLUE DART EXPRESS LTD,0
507,19686,BLUEJET-EQ,BLUE JET HEALTHCARE LTD,0
508,23410,BLUEPEBBLE-SM,BLUE PEBBLE LIMITED,0
509,8311,BLUESTARCO-EQ,BLUE STAR LIMITED,0
510,6052,BMETRICS-SM,BOMBAY METRICS S C LTD,0
511,25017,BODALCHEM-EQ,BODAL CHEMICALS LTD,0
512,513,BOMDYEING-EQ,BOMBAY DYEING & MFG. CO L,0
513,19401,BOROLTD-EQ,BOROSIL LIMITED,0
514,3155,BORORENEW-BE,BOROSIL RENEWABLES LTD,0
515,24014,BOROSCI-EQ,BOROSIL SCIENTIFIC LTD,0
516,2181,BOSCHLTD-EQ,BOSCH LIMITED,0
517,25122,BOSS-ST,BOSS PACKAGING SOLU LTD,0
518,526,BPCL-EQ,BHARAT PETROLEUM CORP  LT,0
519,530,BPL-EQ,BPL LTD,0
520,24908,BRACEPORT-ST,BRACE PORT LOGISTICS LTD,0
521,15184,BRIGADE-EQ,BRIGADE ENTER. LTD,0
522,547,BRITANNIA-EQ,BRITANNIA INDUSTRIES LTD,0
523,21683,BRNL-EQ,BHARAT ROAD NETWORK LTD,0
524,25140,BROOKS-BE,BROOKS LAB LIMITED,0
525,19585,BSE-EQ,BSE LIMITED,0
526,3001,BSE500IETF-EQ,ICICIPRAMC - ICICI500,0
527,809,BSHSL-EQ,BOMBAY SUPER HYBRID SEEDS,0
528,559,BSL-EQ,BSL LTD,0
529,23804,BSLGOLDETF-EQ,ADITYBIRLA SL GOLD ETF-GR,0
530,24781,BSLNIFTY-EQ,ADITYBIRLA SL NIF ETF-GR,0
531,5957,BSLSENETFG-EQ,BIRLASLAMC - BSLSENETFG,0
532,6994,BSOFT-EQ,BIRLASOFT LIMITED,0
533,14152,BTML-BE,BODHI TREE MULTIMEDIA LTD,0
534,24701,BULKCORP-SM,BULKCORP INTERNATIONAL L,0
535,15194,BURNPUR-EQ,BURNPUR CEMENT LTD.,0
536,2716,BUTTERFLY-EQ,BTRFLY GANDHI APPL LTD,0
537,15073,BVCL-EQ,BARAK VALLEY CEM. LTD.,0
538,7930,BYKE-BE,THE BYKE HOSPITALITY LTD,0
539,27274,C2C-SM,C2C ADVANCED SYSTEMS LTD,0
540,21824,CADSYS-ST,CADSYS (INDIA) LIMITED,0
541,8400,CALSOFT-BE,CALIFORNIA SOFTWARE CO LT,0
542,29219,CALSOFT-RE-BE,CALIFORNIA SOFT LTD,0
543,6216,CAMLINFINE-EQ,CAMLIN FINE SCIENCES LTD,0
544,9362,CAMPUS-EQ,CAMPUS ACTIVEWEAR LIMITED,0
545,342,CAMS-EQ,COMPUTER AGE MNGT SER LTD,0
546,19368,CANARYS-SM,CANARYS AUTOMATIONS LTD,0
547,10794,CANBK-EQ,CANARA BANK,0
548,583,CANFINHOME-EQ,CAN FIN HOMES LTD,0
549,20160,CANTABIL-EQ,CANTABIL RETAIL LTD,0
550,21749,CAPACITE-EQ,CAPACITE INFRAPROJECT LTD,0
551,29157,CAPINVIT-IV,CAPITAL INFRA TRUST,0
552,22675,CAPITALSFB-EQ,CAPITAL SMALL FIN BANK L,0
553,3906,CAPLIPOINT-EQ,CAPLIN POINT LAB LTD.,0
554,19451,CAPTRUST-BE,CAPITAL TRUST LIMITED,0
555,595,CARBORUNIV-EQ,CARBORUNDUM UNIVERSAL LTD,0
556,20086,CAREERP-EQ,CAREER POINT LIMITED,0
557,29113,CARERATING-EQ,CARE RATINGS LIMITED,0
558,28879,CARRARO-EQ,CARRARO INDIA LIMITED,0
559,5407,CARTRADE-EQ,CARTRADE TECH LIMITED,0
560,1879,CARYSIL-EQ,CARYSIL LIMITED,0
561,1250,CASTROLIND-EQ,CASTROL INDIA LIMITED,0
562,20406,CBAZAAR-SM,NET AVENUE TECHNOLOGIES L,0
563,14996,CCCL-BE,CONS. CONST. CONSORT LTD,0
564,6385,CCHHL-EQ,COUNTRY CLUB HOSP HOL LTD,0
565,11452,CCL-EQ,CCL PRODUCTS (I) LTD,0
566,21174,CDSL-EQ,CENTRAL DEPO SER (I) LTD,0
567,15254,CEATLTD-EQ,CEAT LIMITED,0
568,24742,CEIGALL-EQ,CEIGALL INDIA LIMITED,0
569,13162,CELEBRITY-EQ,CELEBRITY FASHIONS LTD,0
570,18806,CELLECOR-SM,CELLECOR GADGETS LIMITED,0
571,19795,CELLO-EQ,CELLO WORLD LIMITED,0
572,16950,CELLPOINT-SM,CELL POINT (INDIA) LTD,0
573,619,CENTENKA-EQ,CENTURY ENKA LTD,0
574,11511,CENTEXT-EQ,CENTURY EXTRUSIONS LTD,0
575,14894,CENTRALBK-EQ,CENTRAL BANK OF INDIA,0
576,2454,CENTRUM-EQ,CENTRUM CAPITAL LIMITED,0
577,14982,CENTUM-EQ,CENTUM ELECTRONICS LTD,0
578,13305,CENTURYPLY-EQ,CENTURY PLYBOARDS (I) LTD,0
579,15039,CERA-EQ,CERA SANITARYWARE LTD,0
580,29016,CEREBRAINT-BZ,CEREBRA INT TECH LTD,0
581,628,CESC-EQ,CESC LTD,0
582,28764,CEWATER-EQ,CONCORD ENVIRO SYSTEMS L,0
583,20329,CGCL-EQ,CAPRI GLOBAL CAPITAL LTD,0
584,760,CGPOWER-EQ,CG POWER AND IND SOL LTD,0
585,23468,CGRAPHICS-SM,CREATIVE GRAPHICS S IND L,0
586,8546,CHALET-EQ,CHALET HOTELS LIMITED,0
587,637,CHAMBLFERT-EQ,CHAMBAL FERTILIZERS LTD,0
588,18654,CHAVDA-SM,CHAVDA INFRA LIMITED,0
589,14618,CHEMBOND-EQ,CHEMBOND CHEMICALS LTD,0
590,270,CHEMCON-EQ,CHEMCON SPECIAL CHEM LTD,0
591,2799,CHEMFAB-EQ,CHEMFAB ALKALIS LIMITED,0
592,5449,CHEMPLASTS-EQ,CHEMPLAST SANMAR LIMITED,0
593,2049,CHENNPETRO-EQ,CHENNAI PETROLEUM CORP LT,0
594,24625,CHETANA-SM,CHETANA EDUCATION LIMITED,0
595,9879,CHEVIOT-EQ,CHEVIOT COMPANY LIMITED,0
596,8866,CHOICEIN-EQ,CHOICE INTERNATIONAL LTD,0
597,685,CHOLAFIN-EQ,CHOLAMANDALAM IN & FIN CO,0
598,21740,CHOLAHLDNG-EQ,CHOLAMANDALAM FIN HOL LTD,0
599,14937,CIEINDIA-EQ,CIE AUTOMOTIVE INDIA LTD,0
600,5142,CIGNITITEC-EQ,CIGNITI TECHNOLOGIES LTD,0
601,27164,CINELINE-BE,CINELINE INDIA LIMITED,0
602,8024,CINEVISTA-EQ,CINEVISTA LIMITED,0
603,694,CIPLA-EQ,CIPLA LTD,0
604,5049,CLEAN-EQ,CLEAN SCIENCE & TECH LTD,0
605,20223,CLEDUCATE-EQ,CL EDUCATE LIMITED,0
606,3482,CLSEL-EQ,CHAMAN LAL SETIA EXP LTD,0
607,18260,CLSL-SM,CROP LIFE SCIENCE LIMITED,0
608,13738,CMNL-ST,CHAMAN METALLICS LIMITED,0
609,11447,CMRSL-SM,CYBER MEDIA RES & SER LTD,0
610,7603,CMSINFO-EQ,CMS INFO SYSTEMS LIMITED,0
611,20374,COALINDIA-EQ,COAL INDIA LTD,0
612,6006,COASTCORP-EQ,COASTAL CORPORATION LTD,0
613,21508,COCHINSHIP-EQ,COCHIN SHIPYARD LIMITED,0
614,11543,COFORGE-EQ,COFORGE LIMITED,0
615,15141,COLPAL-EQ,COLGATE PALMOLIVE LTD.,0
616,19516,COMMITTED-ST,COMMITTED CARGO CARE LTD,0
617,13198,COMMOIETF-EQ,ICICIPRAMC - ICICICOMMO,0
618,31138,COMPUSOFT-EQ,COMPUCOM SOFTWARE LTD,0
619,21594,COMSYN-BE,COMMERCIAL SYN BAGS LTD,0
620,4749,CONCOR-EQ,CONTAINER CORP OF IND LTD,0
621,18060,CONCORDBIO-EQ,CONCORD BIOTECH LIMITED,0
622,10238,CONFIPET-EQ,CONFIDENCE PETRO IND LTD.,0
623,10512,CONS-EQ,KOTAKMAMC - KOTAKCONS,0
624,11731,CONSOFINVT-EQ,CONSO. FIN. & HOLD. LTD.,0
625,2435,CONSUMBEES-EQ,NIP IND ETF CONSUMPTION,0
626,28969,CONSUMER-EQ,MIRAEAMC - CONSUMER,0
627,6446,CONSUMIETF-EQ,ICICIPRAMC - ICICICONSU,0
628,2532,CONTI-ST,CONTINENTAL SEED CHEM LTD,0
629,17477,CONTROLPR-EQ,CONTROL PRINT LIMITED,0
630,8567,COOLCAPS-ST,COOL CAPS INDUSTRIES LTD,0
631,4007,CORALFINAC-EQ,CORAL INDIA FIN & HOUS LT,0
632,15271,CORDSCABLE-EQ,CORDS CABLE INDUS LTD.,0
633,739,COROMANDEL-EQ,COROMANDEL INTERNTL. LTD,0
634,742,COSMOFIRST-EQ,COSMO FIRST LIMITED,0
635,16986,COUNCODOS-EQ,COUNTRY CONDO S LIMITED,0
636,18380,CPS-ST,C P S SHAPERS LIMITED,0
637,2328,CPSEETF-EQ,CPSE ETF,0
638,2854,CRAFTSMAN-EQ,CRAFTSMAN AUTOMATION LTD,0
639,16419,CRAYONS-SM,CRAYONS ADVERTISING LTD,0
640,11155,CREATIVE-EQ,CREATIVE NEWTECH LIMITED,0
641,9388,CREATIVEYE-BE,CREATIVE EYE LIMITED,0
642,4421,CREDITACC-EQ,CREDITACCESS GRAMEEN LTD,0
643,13900,CREST-EQ,CREST VENTURES LIMITED,0
644,757,CRISIL-EQ,CRISIL LTD,0
645,17094,CROMPTON-EQ,CROMPT GREA CON ELEC LTD,0
646,8083,CROWN-EQ,CROWN LIFTERS LIMITED,0
647,14966,CSBBANK-EQ,CSB BANK LIMITED,0
648,10350,CSLFINANCE-EQ,CSL FINANCE LIMITED,0
649,14218,CTE-EQ,CAMBRIDGE TECH ENTER LTD,0
650,5701,CUB-EQ,CITY UNION BANK LTD,0
651,15078,CUBEINVIT-IV,CUBE HIGHWAYS TRUST,0
652,9881,CUBEXTUB-BE,CUBEXTUBINGS-ROLLSETT,0
653,1901,CUMMINSIND-EQ,CUMMINS INDIA LTD,0
654,18520,CUPID-EQ,CUPID LIMITED,0
655,11842,CYBERMEDIA-EQ,CYBER MEDIA (INDIA) LTD.,0
656,6051,CYBERTECH-EQ,CYBERTECH SYSTEMS & SOFTW,0
657,5748,CYIENT-EQ,CYIENT LIMITED,0
658,17187,CYIENTDLM-EQ,CYIENT DLM LIMITED,0
659,772,DABUR-EQ,DABUR INDIA LTD,0
660,8075,DALBHARAT-EQ,DALMIA BHARAT LIMITED,0
661,781,DALMIASUG-EQ,DALMIA BHARAT SUG IN LTD,0
662,28662,DAMCAPITAL-EQ,DAM CAPITAL ADVISORS LTD,0
663,17541,DAMODARIND-EQ,DAMODAR INDUSTRIES LTD,0
664,1110,DANGEE-EQ,DANGEE DUMS LIMITED,0
665,25927,DANISH-SM,DANISH POWER LIMITED,0
666,11423,DATAMATICS-EQ,DATAMATICS GLOBAL SER LTD,0
667,7358,DATAPATTNS-EQ,DATA PATTERNS INDIA LTD,0
668,21794,DAVANGERE-EQ,DAVANGERE SUGAR COMPANY L,0
669,17881,DBCORP-EQ,D.B.CORP LTD,0
670,25892,DBEIL-EQ,DEEPAK BUILDERS & ENG I L,0
671,18086,DBL-EQ,DILIP BUILDCON LIMITED,0
672,10893,DBOL-EQ,DHAMPUR BIO ORGANICS LTD,0
673,18124,DBREALTY-EQ,VALOR ESTATE LIMITED,0
674,31107,DBSTOCKBRO-EQ,DB (INT) STOCK BROKERS,0
675,21704,DCAL-EQ,DISHMAN CARBO AMCIS LTD,0
676,13725,DCBBANK-EQ,DCB BANK LIMITED,0
677,23520,DCG-SM,DCG CABLES & WIRES LTD,0
678,11566,DCI-EQ,DC INFOTECH AND COMUN LTD,0
679,805,DCM-EQ,DCM LTD,0
680,8704,DCMFINSERV-BE,DCM FINANCIAL SERVICES LT,0
681,11039,DCMNVL-EQ,DCM NOUVELLE LIMITED,0
682,811,DCMSHRIRAM-EQ,DCM SHRIRAM LIMITED,0
683,7325,DCMSRIND-EQ,DCM SHRIRAM IND LTD,0
684,817,DCW-EQ,DCW LTD,0
685,11895,DCXINDIA-EQ,DCX SYSTEMS LIMITED,0
686,29098,DDEVPLSTIK-EQ,DDEV PLASTIKS IND LTD,0
687,14838,DECCANCE-EQ,DECCAN CEMENTS LIMITED,0
688,25425,DECCANTRAN-ST,DECCAN TRANSCON LEASING L,0
689,24154,DEEDEV-EQ,DEE DEVELOPMENT ENG LTD,0
690,22799,DEEM-SM,DEEM ROLL TECH LIMITED,0
691,827,DEEPAKFERT-EQ,DEEPAK FERTILIZERS & PETR,0
692,19943,DEEPAKNTR-EQ,DEEPAK NITRITE LTD,0
693,3292,DEEPINDS-EQ,DEEP INDUSTRIES LIMITED,0
694,22527,DELAPLEX-SM,DELAPLEX LIMITED,0
695,9599,DELHIVERY-EQ,DELHIVERY LIMITED,0
696,24395,DELPHIFX-BE,DELPHI WORLD MONEY LTD,0
697,15044,DELTACORP-EQ,DELTA CORP LIMITED,0
698,1214,DELTAMAGNT-EQ,DELTA MANUFACTURING LTD,0
699,29095,DELTIC-ST,DELTA AUTOCORP LIMITED,0
700,17722,DEN-EQ,DEN NETWORKS LTD,0
701,15465,DENEERS-ST,DE NEERS TOOLS LIMITED,0
702,4279,DENORA-EQ,DE NORA INDIA LIMITED,0
703,16454,DENTALKART-SM,VASA DENTICITY LIMITED,0
704,6092,DESTINY-ST,DESTINY LOGISTICS & I LTD,0
705,8146,DEVIT-EQ,DEV INFO TECHNOLOGY LTD,0
706,5373,DEVYANI-EQ,DEVYANI INTERNATIONAL LTD,0
707,10358,DGCONTENT-BE,DIGICONTENT LIMITED,0
708,857,DHAMPURSUG-EQ,DHAMPUR SUGAR MILLS LTD.,0
709,11360,DHANBANK-BE,DHANLAXMI BANK LIMITED,0
710,15384,DHANI-EQ,DHANI SERVICES LIMITED,0
711,27732,DHANLAXMI-ST,DHANLAXMI CROP SCIENCE L,0
712,24409,DHANUKA-EQ,DHANUKA AGRITECH LTD,0
713,24747,DHARIWAL-SM,DHARIWALCORP LIMITED,0
714,13001,DHARMAJ-EQ,DHARMAJ CROP GUARD LTD,0
715,6858,DHRUV-EQ,DHRUV CONSULTANCY SER LTD,0
716,22533,DHTL-SM,DOCMODE HEALTH TECH LTD,0
717,22233,DHUNINV-EQ,DHUNSERI INVESTMENTS LTD,0
718,18545,DIACABS-BE,DIAMOND POWER INFRA LTD,0
719,18644,DIAMINESQ-EQ,DIAMINES & CHEMICALS LTD,0
720,21840,DIAMONDYD-EQ,PRATAAP SNACKS LIMITED,0
721,703,DICIND-EQ,DIC INDIA LIMITED,0
722,25672,DIFFNKG-EQ,DIFFUSION ENGINEERS LTD,0
723,21247,DIGIDRIVE-EQ,DIGIDRIVE DISTRIBUTORS L,0
724,19141,DIGIKORE-ST,DIGIKORE STUDIOS LIMITED,0
725,16683,DIGISPICE-EQ,DIGISPICE TECHNOLOGIES LT,0
726,6136,DIGJAMLMTD-BE,DIGJAM LTD,0
727,8665,DIL-BE,DEBOCK INDUSTRIES LIMITED,0
728,14537,DISHTV-EQ,DISH TV INDIA LTD.,0
729,14479,DIVGIITTS-EQ,DIVGI TORQTRANSFER SYST L,0
730,10940,DIVISLAB-EQ,DIVI S LABORATORIES LTD,0
731,2636,DIVOPPBEES-EQ,NIP IND ETF DIV OPP,0
732,25677,DIVYADHAN-SM,DIVYADHAN RECYCLING IND L,0
733,21690,DIXON-EQ,DIXON TECHNO (INDIA) LTD,0
734,12753,DJML-BE,DJ MEDIAPRINT & LOG LTD,0
735,6249,DKEGL-SM,D K ENTERPRISES GLOBAL L,0
736,14732,DLF-EQ,DLF LIMITED,0
737,17851,DLINKINDIA-EQ,D-LINK INDIA LTD,0
738,19913,DMART-EQ,AVENUE SUPERMARTS LIMITED,0
739,6980,DMCC-BE,DMCC SPECIALITY CHEMICALS,0
740,641,DNAMEDIA-EQ,DILIGENT MEDIA CORP LTD.,0
741,4822,DODLA-EQ,DODLA DAIRY LIMITED,0
742,12124,DOLATALGO-EQ,DOLAT ALGOTECH LIMITED,0
743,20560,DOLLAR-EQ,DOLLAR INDUSTRIES LIMITED,0
744,13323,DOLLEX-SM,DOLLEX AGROTECH LIMITED,0
745,18136,DOLPHIN-BE,DOLPHIN OFF ENT (IND) L,0
746,20551,DOMS-EQ,DOMS INDUSTRIES LIMITED,0
747,13839,DONEAR-EQ,DONEAR IND. LIMITED,0
748,936,DPABHUSHAN-EQ,D. P. ABHUSHAN LIMITED,0
749,24289,DPEL-ST,DIVINE POWER ENERGY LTD,0
750,15419,DPSCLTD-EQ,DPSC LIMITED,0
751,16900,DPWIRES-EQ,D P WIRES LIMITED,0
752,2645,DRCSYSTEMS-EQ,DRC SYSTEMS INDIA LIMITED,0
753,10859,DREAMFOLKS-EQ,DREAMFOLKS SERVICES LTD,0
754,11271,DREDGECORP-EQ,DREDGING CORP OF INDIA,0
755,18769,DRL-SM,DHANUKA REALTY LIMITED,0
756,17383,DRONE-ST,DRONE DESTINATION LIMITED,0
757,881,DRREDDY-EQ,DR. REDDY S LABORATORIES,0
758,23488,DRSCARGO-ST,DRS CARGO MOVERS LIMITED,0
759,6686,DRSDILIP-SM,DRS DILIP ROADLINES LTD.,0
760,25690,DSSL-EQ,DYNACONS SYS & SOLN LTD,0
761,6227,DTIL-EQ,DHUNSERI TEA & IND. LTD.,0
762,24313,DTL-SM,DIENSTEN TECH LIMITED,0
763,13766,DUCOL-SM,DUCOL ORGS AND COLOURS LT,0
764,28952,DUCON-EQ,DUCON INFRATECHNOLOGIES L,0
765,5457,DUGLOBAL-SM,DUDIGITAL GLOBAL LIMITED,0
766,24164,DURLAX-SM,DURLAX TOP SURFACE LTD,0
767,15214,DVL-EQ,DHUNSERI VENTURES LIMITED,0
768,11667,DWARKESH-EQ,DWARIKESH SUGAR IND LTD,0
769,10417,DYCL-EQ,DYNAMIC CABLES LIMITED,0
770,4525,DYNAMATECH-EQ,DYNAMATIC TECHNOLOGIES,0
771,6082,DYNAMIC-ST,DYNAMIC SRVCS & SEC LTD,0
772,21314,DYNPRO-EQ,DYNEMIC PRODUCTS LIMITED,0
773,8940,E2E-BE,E2E NETWORKS LIMITED,0
774,2792,EASEMYTRIP-EQ,EASY TRIP PLANNERS LTD,0
775,25258,EBANKNIFTY-EQ,EDELAMC - EBANKNIFTY,0
776,22243,EBBETF0425-EQ,EDELAMC - EBBETF0425,0
777,16253,EBBETF0430-EQ,EDELAMC - EBBETF0430,0
778,22239,EBBETF0431-EQ,EDELAMC - EBBETF0431,0
779,13139,EBBETF0433-EQ,EDELAMC - EBBETF0433,0
780,29019,ECAPINSURE-EQ,EDELAMC - ECAPINSURE,0
781,15179,ECLERX-EQ,ECLERX SERVICES LTD,0
782,25060,ECOSMOBLTY-EQ,ECOS (INDIA) MOB & HOSP L,0
783,15119,EDELWEISS-EQ,EDELWEISS FIN SERV LTD,0
784,19278,EFACTOR-ST,E FACTOR EXPERIENCES LTD,0
785,24438,EFFWA-ST,EFFWA INFRA & RESEARCH L,0
786,20899,EFORCE-SM,ELECTRO FORCE (INDIA) LTD,0
787,19933,EGOLD-EQ,EDELAMC - EGOLD,0
788,910,EICHERMOT-EQ,EICHER MOTORS LTD,0
789,916,EIDPARRY-EQ,EID PARRY INDIA LTD,0
790,27213,EIEL-EQ,ENVIRO INFRA ENGINEERS L,0
791,6040,EIFFL-EQ,EURO (I) FRESH FOODS LTD,0
792,15399,EIHAHOTELS-EQ,EIH ASSOCIATED HOTELS LTD,0
793,919,EIHOTEL-EQ,EIH LIMITED,0
794,4040,EIMCOELECO-EQ,EIMCO ELECON (INDIA) LTD,0
795,13091,EKC-EQ,EVEREST KANTO CYLINDERLTD,0
796,8953,ELDEHSG-EQ,ELDECO HSG & IND LTD.,0
797,13643,ELECON-EQ,ELECON ENG. CO. LTD,0
798,928,ELECTCAST-EQ,ELECTROSTEEL CASTINGS LTD,0
799,14902,ELECTHERM-BE,ELECTROTHERM (I) LTD.,0
800,937,ELGIEQUIP-EQ,ELGI EQUIPMENTS LTD,0
801,24928,ELGIRUBCO-BE,ELGI RUBBER CO. LTD,0
802,13423,ELIN-EQ,ELIN ELECTRONICS LIMITED,0
803,29232,EMAIN-ST,EMA PARTNERS INDIA LTD,0
804,13517,EMAMILTD-EQ,EMAMI LIMITED,0
805,10074,EMAMIPAP-EQ,EMAMI PAPER MILLS LIMITED,0
806,9383,EMBASSY-RR,EMBASSY OFFICE PARKS REIT,0
807,14450,EMBDL-EQ,EQUINOX INDIA DEV LTD,0
808,24398,EMCURE-EQ,EMCURE PHARMACEUTICALS L,0
809,11530,EMIL-EQ,ELECTRONICS MART IND LTD,0
810,13424,EMKAY-BE,EMKAY GLOBAL FIN SERV LTD,0
811,10253,EMKAYTOOLS-SM,EMKAY TAP & CUT. TOOL LTD,0
812,18142,EMMBI-EQ,EMMBI INDUSTRIES LIMITED,0
813,23748,EMMIL-ST,ENERGY MISSION MACH IND L,0
814,18593,EMSLIMITED-EQ,EMS LIMITED,0
815,9756,EMUDHRA-EQ,EMUDHRA LIMITED,0
816,25996,EMULTIMQ-EQ,EDELAMC - EMULTIMQ,0
817,18822,ENDURANCE-EQ,ENDURANCE TECHNO. LTD.,0
818,15053,ENERGYDEV-BE,ENERGY DEVE. CO.LTD,0
819,23227,ENFUSE-ST,ENFUSE SOLUTIONS LIMITED,0
820,4907,ENGINERSIN-EQ,ENGINEERS INDIA LTD,0
821,13192,ENIL-EQ,ENTERTAIN NET. IND. LTD.,0
822,23233,ENSER-ST,ENSER COMMUNICATIONS LTD,0
823,22717,ENTERO-EQ,ENTERO HEALTHCARE SOLU L,0
824,25412,ENVIRO-SM,ENVIROTECH SYSTEMS LTD,0
825,22463,EPACK-EQ,EPACK DURABLE LIMITED,0
826,5382,EPIGRAL-EQ,EPIGRAL LIMITED,0
827,981,EPL-EQ,EPL LIMITED,0
